Prio,Kasse,Mitglieder_Mio,Kontakt_Name,Kontakt_Rolle,Kontakt_Email,LinkedIn_URL,Erstkontakt_Datum,Follow_up_1_Datum,Follow_up_2_Datum,Status,Reaktions_Datum,Notiz
1,Techniker Krankenkasse (TK),11.4,,Head of Innovation,,,,,,offen,,TK-Innovationsradar-Portal: https://tk-innovationsradar.de
1,hkk,1.0,,Innovation/Praevention Lead,,,,,,offen,,Digital-first-Positionierung
1,BARMER,8.7,,Digital Health Team,digitalhealth@barmer.de,,,,,offen,,Alternative: LinkedIn Suche BARMER Digital Health
1,IKK classic,3.1,,Referatsleitung Praevention,praevention@ikk-classic.de,,,,,offen,,
1,AOK Bayern,4.8,,Innovation Team,,,,,,offen,,AOK Bundesverband parallel kontaktieren
2,AOK Nordost,1.8,,Innovation Team,,,,,,offen,,BER/BB/MV
2,DAK-Gesundheit,5.5,,DAK Innovation-Center,innovation@dak.de,,,,,offen,,
2,KKH,1.5,,Innovation Team,,,,,,offen,,
2,AOK PLUS,3.4,,Innovation Team,,,,,,offen,,Sachsen/Thueringen
2,BIG direkt gesund,0.5,,Team info,info@big-direkt.de,,,,,offen,,Direktkasse ohne Filialen digital-nativ
3,HEK,0.7,,Innovation Team,,,,,,offen,,
3,BKK Mobil Oil,1.1,,Innovation Team,,,,,,offen,,
3,SBK (Siemens-BKK),1.2,,Innovation Team,,,,,,offen,,Konzern-BKK mit Innovation-Budget
3,Knappschaft,1.4,,Praevention Team,praevention@kbs.de,,,,,offen,,
3,HanseMerkur (PKV),0.5,,Innovation Team,,,,,,offen,,PKV mit digitale Wellness-Programmen
